City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,mananara,-16.1667,49.7667,298.39,90,87,1.85,MG,1675832626
272,lompoc,34.6391,-120.4579,284.0,95,0,2.06,US,1675832593
273,mogzon,51.7435,111.9606,262.11,79,91,1.47,RU,1675832627
274,kaspiyskiy,45.3929,47.3707,269.63,96,100,6.91,RU,1675832627
275,saldanha,-33.0117,17.9442,290.18,86,0,3.94,ZA,1675832627
276,san quintin,30.4833,-115.95,287.38,50,0,0.88,MX,1675832628
277,japura,-0.3167,102.35,305.8,51,85,1.88,ID,1675832628
278,port hedland,-20.3167,118.5667,308.18,46,45,5.66,AU,1675832565
279,celestun,20.8667,-90.4,297.76,74,13,7.16,MX,1675832629
280,varazdin,46.3044,16.3378,268.09,70,3,1.51,HR,1675832629
281,ixtapa,20.7,-105.2,291.07,73,1,1.22,MX,1675831878
282,kahului,20.8947,-156.47,296.95,79,40,8.75,US,1675832630
283,faanui,-16.4833,-151.75,300.31,72,24,5.19,PF,1675832630
284,san cristobal,7.7669,-72.225,293.25,79,14,0.68,VE,1675832630
285,charters towers,-20.1,146.2667,306.48,38,98,5.02,AU,1675832398
286,dicabisagan,17.0818,122.4157,297.83,84,96,3.87,PH,1675832631
287,shache,38.4167,77.2406,274.34,48,0,0.92,CN,1675832631
288,garoua,9.3,13.4,294.16,22,54,1.12,CM,1675832631
289,boca do acre,-8.7522,-67.3978,295.77,99,100,0.18,BR,1675832632
290,toamasina,-18.1667,49.3833,298.15,94,75,1.54,MG,1675832632
291,atambua,-9.1061,124.8925,300.71,73,60,2.53,ID,1675832633
292,nedjo,9.5046,35.5019,289.69,40,6,1.14,ET,1675832633
293,coquimbo,-29.9533,-71.3436,291.0,88,100,2.57,CL,1675832428
294,ayan,56.45,138.1667,247.52,62,33,2.58,RU,1675832633
295,namangan,40.9983,71.6726,280.4,39,96,1.03,UZ,1675832634
296,dalarik,40.2266,43.8754,272.73,68,99,4.01,AM,1675832634
297,pangoa,-12.1167,-73.0,292.92,99,73,0.81,PE,1675832635
298,santiago del estero,-27.7951,-64.2615,303.67,37,88,3.47,AR,1675832567
299,ola,59.5833,151.2833,251.56,84,33,3.2,RU,1675832635
300,puerto el triunfo,13.2833,-88.55,297.72,66,3,1.6,SV,1675832636
301,mopti,14.6667,-4.0,297.25,16,42,4.29,ML,1675832552
302,pangai,-19.8,-174.35,302.21,70,75,4.12,TO,1675832636
303,ocos,14.5094,-92.1933,295.25,72,9,1.1,GT,1675832637
304,victoria,22.2855,114.1577,293.36,81,96,4.47,HK,1675832406
305,prince rupert,54.3161,-130.3201,277.98,93,100,8.75,CA,1675832537
306,zhuanghe,39.7008,122.9911,276.28,26,0,1.9,CN,1675832637
307,labuhan,-6.8844,112.2051,299.17,84,100,2.85,ID,1675832638
308,vardo,70.3705,31.1107,271.14,80,35,11.32,NO,1675832638
309,xinyang,32.1228,114.0656,282.54,74,100,5.58,CN,1675832638
310,napier,-39.4833,176.9167,296.08,72,24,3.58,NZ,1675832638
311,haileybury,47.449,-79.6373,270.47,95,100,4.3,CA,1675832639
312,russell,32.3502,-85.1999,288.15,93,0,0.0,US,1675832438
313,kimamba,-6.7833,37.1333,295.35,94,100,0.27,TZ,1675832639
314,hirara,24.8,125.2833,295.3,78,75,5.66,JP,1675832484
315,kenai,60.5544,-151.2583,269.34,80,100,6.69,US,1675832640
316,esperance,-33.8667,121.9,295.45,64,63,6.09,AU,1675832640
317,port moresby,-9.4431,147.1797,298.83,94,100,4.12,PG,1675832374
318,morgan city,29.6994,-91.2068,292.59,94,20,3.09,US,1675832640
319,kloulklubed,7.0419,134.2556,302.43,76,100,8.26,PW,1675832641
320,palamuse,58.6843,26.584,272.01,91,100,4.56,EE,1675832641
321,sao felix do xingu,-6.6447,-51.995,294.56,99,88,0.27,BR,1675832642
322,los llanos de aridane,28.6585,-17.9182,285.01,76,20,4.02,ES,1675832642
323,upata,8.0086,-62.3989,294.92,96,1,1.85,VE,1675832643
324,petropavlovsk-kamchatskiy,53.0452,158.6483,265.48,42,40,3.0,RU,1675832644
325,iqaluit,63.7506,-68.5145,240.0,75,75,1.03,CA,1675832645
326,wad madani,14.4012,33.5199,291.06,17,14,6.77,SD,1675832645
327,sindi,20.8,78.8667,299.64,19,2,3.63,IN,1675832646
